,JPM
2008-01-02,1000000.0
2008-01-03,1000270.0
2008-01-04,1001140.0
2008-01-07,1001520.0
2008-01-08,1003020.0
2008-01-09,1003530.0
2008-01-10,1004510.0
2008-01-11,1004940.0
2008-01-14,1005400.0
2008-01-15,1007400.0
2008-01-16,1009460.0
2008-01-17,1010730.0
2008-01-18,1011140.0
2008-01-22,1012300.0
2008-01-23,1016730.0
2008-01-24,1017420.0
2008-01-25,1018620.0
2008-01-28,1020380.0
2008-01-29,1022090.0
2008-01-30,1022180.0
2008-01-31,1022230.0
2008-02-01,1023000.0
2008-02-04,1024850.0
2008-02-05,1026980.0
2008-02-06,1027130.0
2008-02-07,1028400.0
2008-02-08,1029580.0
2008-02-11,1030010.0
2008-02-12,1030040.0
2008-02-13,1030760.0
2008-02-14,1032120.0
2008-02-15,1032700.0
2008-02-19,1033080.0
2008-02-20,1033370.0
2008-02-21,1033440.0
2008-02-22,1034220.0
2008-02-25,1034310.0
2008-02-26,1034590.0
2008-02-27,1035220.0
2008-02-28,1037020.0
2008-02-29,1038650.0
2008-03-03,1039410.0
2008-03-04,1039980.0
2008-03-05,1040390.0
2008-03-06,1041640.0
2008-03-07,1041810.0
2008-03-10,1042790.0
2008-03-11,1044940.0
2008-03-12,1045150.0
2008-03-13,1045610.0
2008-03-14,1047040.0
2008-03-17,1050480.0
2008-03-18,1052670.0
2008-03-19,1052890.0
2008-03-20,1056080.0
2008-03-24,1056610.0
2008-03-25,1057060.0
2008-03-26,1058830.0
2008-03-27,1059970.0
2008-03-28,1060110.0
2008-03-31,1060330.0
2008-04-01,1064020.0
2008-04-02,1064370.0
2008-04-03,1064410.0
2008-04-04,1065060.0
2008-04-07,1065090.0
2008-04-08,1065720.0
2008-04-09,1066230.0
2008-04-10,1066640.0
2008-04-11,1067860.0
2008-04-14,1068810.0
2008-04-15,1069380.0
2008-04-16,1071990.0
2008-04-17,1072140.0
2008-04-18,1072730.0
2008-04-21,1073220.0
2008-04-22,1073610.0
2008-04-23,1074070.0
2008-04-24,1075740.0
2008-04-25,1076500.0
2008-04-28,1076920.0
2008-04-29,1077160.0
2008-04-30,1077690.0
2008-05-01,1079160.0
2008-05-02,1079700.0
2008-05-05,1080310.0
2008-05-06,1080490.0
2008-05-07,1081980.0
2008-05-08,1082460.0
2008-05-09,1082940.0
2008-05-12,1083550.0
2008-05-13,1085170.0
2008-05-14,1085570.0
2008-05-15,1086590.0
2008-05-16,1087040.0
2008-05-19,1087540.0
2008-05-20,1089640.0
2008-05-21,1090820.0
2008-05-22,1091400.0
2008-05-23,1092070.0
2008-05-27,1092700.0
2008-05-28,1092840.0
2008-05-29,1093500.0
2008-05-30,1094030.0
2008-06-02,1094810.0
2008-06-03,1095050.0
2008-06-04,1095290.0
2008-06-05,1095720.0
2008-06-06,1097560.0
2008-06-09,1099940.0
2008-06-10,1100660.0
2008-06-11,1101730.0
2008-06-12,1102540.0
2008-06-13,1103990.0
2008-06-16,1104320.0
2008-06-17,1105150.0
2008-06-18,1105420.0
2008-06-19,1105510.0
2008-06-20,1106230.0
2008-06-23,1107140.0
2008-06-24,1107920.0
2008-06-25,1108090.0
2008-06-26,1109550.0
2008-06-27,1110720.0
2008-06-30,1111400.0
2008-07-01,1111480.0
2008-07-02,1112020.0
2008-07-03,1112680.0
2008-07-07,1113860.0
2008-07-08,1115470.0
2008-07-09,1116850.0
2008-07-10,1117060.0
2008-07-11,1118310.0
2008-07-14,1119680.0
2008-07-15,1120300.0
2008-07-16,1124870.0
2008-07-17,1129390.0
2008-07-18,1130120.0
2008-07-21,1131390.0
2008-07-22,1133450.0
2008-07-23,1134470.0
2008-07-24,1137090.0
2008-07-25,1137440.0
2008-07-28,1139170.0
2008-07-29,1142040.0
2008-07-30,1142810.0
2008-07-31,1143690.0
2008-08-01,1143810.0
2008-08-04,1144380.0
2008-08-05,1146000.0
2008-08-06,1146460.0
2008-08-07,1147930.0
2008-08-08,1149100.0
2008-08-11,1149860.0
2008-08-12,1153550.0
2008-08-13,1154490.0
2008-08-14,1155330.0
2008-08-15,1155570.0
2008-08-18,1156810.0
2008-08-19,1157880.0
2008-08-20,1159200.0
2008-08-21,1159890.0
2008-08-22,1161200.0
2008-08-25,1162630.0
2008-08-26,1163070.0
2008-08-27,1163570.0
2008-08-28,1165180.0
2008-08-29,1165540.0
2008-09-02,1166010.0
2008-09-03,1166680.0
2008-09-04,1168360.0
2008-09-05,1169930.0
2008-09-08,1171750.0
2008-09-09,1173690.0
2008-09-10,1173750.0
2008-09-11,1175840.0
2008-09-12,1176290.0
2008-09-15,1180160.0
2008-09-16,1183630.0
2008-09-17,1188250.0
2008-09-18,1192460.0
2008-09-19,1198740.0
2008-09-22,1204550.0
2008-09-23,1204770.0
2008-09-24,1204830.0
2008-09-25,1207580.0
2008-09-26,1212030.0
2008-09-29,1218760.0
2008-09-30,1224060.0
2008-10-01,1226780.0
2008-10-02,1227340.0
2008-10-03,1231040.0
2008-10-06,1232820.0
2008-10-07,1237200.0
2008-10-08,1237220.0
2008-10-09,1239680.0
2008-10-10,1244330.0
2008-10-13,1244660.0
2008-10-14,1245860.0
2008-10-15,1247940.0
2008-10-16,1249810.0
2008-10-17,1250900.0
2008-10-20,1252150.0
2008-10-21,1253010.0
2008-10-22,1255420.0
2008-10-23,1256060.0
2008-10-24,1258330.0
2008-10-27,1259670.0
2008-10-28,1263040.0
2008-10-29,1264810.0
2008-10-30,1266600.0
2008-10-31,1270000.0
2008-11-03,1270480.0
2008-11-04,1271830.0
2008-11-05,1274600.0
2008-11-06,1275500.0
2008-11-07,1275980.0
2008-11-10,1277230.0
2008-11-11,1277290.0
2008-11-12,1278960.0
2008-11-13,1281420.0
2008-11-14,1283970.0
2008-11-17,1285560.0
2008-11-18,1286150.0
2008-11-19,1289590.0
2008-11-20,1294360.0
2008-11-21,1294980.0
2008-11-24,1299530.0
2008-11-25,1301590.0
2008-11-26,1302380.0
2008-11-28,1303360.0
